upi,district,sector,land_use,zoning,area_m2,distance_to_cbd_km,distance_to_paved_road_m,slope_deg,amenities_score
3/00/05/01/0000,Musanze,SectorA,Mixed-use,R3,1295,9.381218778758512,51.02549893051877,2.3399178050430396,0.24646688973455957
3/01/05/01/0001,Huye,SectorD,Agricultural,R3,969,11.107982811735546,281.8730491596463,0.011681487615214925,0.993769247432974
3/02/05/01/0002,Gasabo,SectorD,Commercial,A1,452,7.047230260989621,90.91259635842236,9.177793420835693,0.3115950885216335
3/03/05/01/0003,Musanze,SectorD,Agricultural,A1,1157,11.99246345950219,63.903765736716124,7.713516576204174,0.6739316550896339
3/04/05/01/0004,Nyarugenge,SectorA,Mixed-use,C2,1040,1.9107223017939132,284.9212334897333,14.48448049611839,0.846717878493169
3/05/05/01/0005,Gasabo,SectorB,Residential,R2,291,7.162134912354418,41.001279279209754,7.427653651669052,0.22751081689217473
3/06/05/01/0006,Rubavu,SectorA,Agricultural,R2,1225,6.952182242877425,66.34279054611571,8.515504917299872,0.22505063396444688
3/07/05/01/0007,Kicukiro,SectorB,Agricultural,R2,401,13.527582905987083,181.38049374927013,13.828113525346753,0.2707940016415356
3/08/05/01/0008,Musanze,SectorA,Commercial,C2,919,11.462481541923331,164.20917905477853,8.801267484957723,0.9722042458113105
3/09/05/01/0009,Musanze,SectorD,Residential,R1,1380,12.230757730556554,26.99243988553239,14.80330404900776,0.8177958154373259
3/00/05/01/0010,Musanze,SectorD,Agricultural,R3,792,10.9587873384811,238.10178445670567,9.08939962171517,0.9410407028106793
3/01/05/01/0011,Kicukiro,SectorA,Agricultural,R1,979,5.632572347937089,23.749713334376974,4.664734825734933,0.46014665762139767
3/02/05/01/0012,Nyarugenge,SectorD,Agricultural,A1,1160,6.360976246553058,291.6550681397856,12.733707363991257,0.7773836169318986
3/03/05/01/0013,Rubavu,SectorC,Mixed-use,R1,406,6.985574257019695,12.498642389508081,1.6183714048995668,0.22514334854938742
3/04/05/01/0014,Gasabo,SectorD,Residential,C1,684,4.490091208084249,126.06296229551077,11.333267078145731,0.383038532393298
3/05/05/01/0015,Nyarugenge,SectorC,Commercial,C1,777,9.740956673873105,92.21193732212562,1.5824138974540591,0.5652276563863282
3/06/05/01/0016,Musanze,SectorD,Agricultural,A1,1454,13.695598181640557,85.27901356846742,9.715351808120435,0.20041630159625268
3/07/05/01/0017,Huye,SectorA,Mixed-use,A1,848,7.787619599025765,209.26862970262974,4.041185006977822,0.39530041779821934
3/08/05/01/0018,Nyarugenge,SectorB,Agricultural,R1,1336,1.9084914595257418,79.90504711063168,3.703140942579018,0.7570434182718306
3/09/05/01/0019,Nyarugenge,SectorA,Residential,R1,1151,1.5164172629634591,184.82147852406956,7.540185348432923,0.2411830009999915
3/00/05/01/0020,Huye,SectorD,Residential,R1,1353,8.43308416643991,137.09603354906204,8.29339633606992,0.6741573791035149
3/01/05/01/0021,Nyarugenge,SectorD,Mixed-use,R1,966,12.243956589318543,143.73868716158134,14.751347113422645,0.5190595539556424
3/02/05/01/0022,Gasabo,SectorA,Agricultural,R3,663,1.5708519817666948,179.31341824053135,10.163465427634236,0.21327026314228492
3/03/05/01/0023,Nyarugenge,SectorC,Mixed-use,C1,1063,2.3464717152798906,282.4543630244332,5.963580316312835,0.6142010804219842
3/04/05/01/0024,Gasabo,SectorC,Agricultural,R1,672,3.9270026903279915,164.72715227913193,10.436765990176232,0.38284001743783974
3/05/05/01/0025,Kicukiro,SectorD,Residential,C1,1080,4.385932072606323,32.465316502740265,13.458236369299902,0.9203344457306644
3/06/05/01/0026,Nyarugenge,SectorC,Residential,R1,1322,10.805009619618797,254.76503696030025,12.844864378171387,0.523606501697752
3/07/05/01/0027,Gasabo,SectorD,Agricultural,R3,303,9.49000683523426,7.713130226905746,1.5220731429904815,0.7308014152864446
3/08/05/01/0028,Huye,SectorB,Agricultural,A1,537,7.7985925502071725,137.28512218094295,14.91686193916231,0.3407402021418763
3/09/05/01/0029,Musanze,SectorA,Commercial,C2,1015,11.450879671652338,196.64170521892834,12.73835115741267,0.7260903138402748
3/00/05/01/0030,Gasabo,SectorD,Agricultural,R3,669,4.712833147544156,76.97694479682966,14.595158321286684,0.5144781797334084
3/01/05/01/0031,Rubavu,SectorD,Mixed-use,R3,425,5.90109770772546,195.30549179901664,10.033860894946494,0.8913340520575226
3/02/05/01/0032,Musanze,SectorA,Agricultural,R3,746,11.759756200288326,17.863112667557957,14.918257661960116,0.5759556111927544
3/03/05/01/0033,Rubavu,SectorA,Commercial,R3,1260,13.996459876228155,131.3143237536077,14.499822285655043,0.9708959816714022
3/04/05/01/0034,Gasabo,SectorD,Mixed-use,C2,1180,3.672754436104844,84.20008278259627,7.2791981141447355,0.4981494936752395
3/05/05/01/0035,Kicukiro,SectorC,Commercial,R2,885,2.3604709127907597,186.42713187625506,14.850807751563949,0.31206721218921923
3/06/05/01/0036,Nyarugenge,SectorB,Commercial,R2,984,12.881377128945442,45.3032927753985,10.63366495365178,0.6422559815263262
3/07/05/01/0037,Kicukiro,SectorC,Commercial,R3,1120,9.561191952119527,29.070283218070905,0.07777294160980164,0.702315531958909
3/08/05/01/0038,Musanze,SectorA,Agricultural,A1,599,1.710759434551557,266.5520589404447,0.41425157810557056,0.6630919164060469
3/09/05/01/0039,Rubavu,SectorC,Residential,R2,774,14.745772436347435,252.48538311046218,12.90606927467513,0.40020108841269125
3/00/05/01/0040,Kicukiro,SectorB,Mixed-use,A1,1202,2.778847177126387,159.0617617161673,11.549903296479162,0.3726568219974746
3/01/05/01/0041,Huye,SectorC,Agricultural,A1,1076,3.7213204759282226,126.34940199172019,10.492683161507907,0.3106824739342411
3/02/05/01/0042,Huye,SectorB,Agricultural,R2,856,6.583492620227124,132.8886175863189,11.16063964498673,0.400688421877329
3/03/05/01/0043,Kicukiro,SectorA,Commercial,R1,1212,1.8147103371182105,274.9880496498117,6.635283445966566,0.3918298873259226
3/04/05/01/0044,Rubavu,SectorD,Residential,C2,1096,14.368113929284718,222.67959042525172,8.31531078767101,0.6893765969874819
3/05/05/01/0045,Nyarugenge,SectorD,Commercial,R3,1196,2.6823050692789905,105.85450168133846,1.3769859872016283,0.2753255906148481
3/06/05/01/0046,Rubavu,SectorB,Commercial,C1,652,7.638433607222552,33.86107739204544,7.374238126752485,0.5787774166244526
3/07/05/01/0047,Gasabo,SectorB,Commercial,C2,222,1.6728249387584722,284.99799081945883,13.300205809470713,0.4087148986733712
3/08/05/01/0048,Kicukiro,SectorB,Mixed-use,R2,968,8.551284277600875,206.76931197245162,9.237767465848707,0.9551132836486058
3/09/05/01/0049,Kicukiro,SectorA,Agricultural,R3,1051,9.056638490262305,119.51012823092397,9.649323276635297,0.5666023123932133
3/00/05/01/0050,Nyarugenge,SectorC,Residential,C1,1391,13.674908987384892,62.75838476284245,1.0404195131274818,0.28062240110194137
3/01/05/01/0051,Kicukiro,SectorA,Mixed-use,R2,234,5.711759008442171,198.43817743731893,5.780949314483475,0.7452909351782318
3/02/05/01/0052,Rubavu,SectorB,Mixed-use,R1,1419,10.700465021687151,107.75929831369322,14.04972227783561,0.23134906134051703
3/03/05/01/0053,Gasabo,SectorA,Residential,R1,875,3.4841536129161197,226.4313517340532,12.10252108900896,0.9924041136005386
3/04/05/01/0054,Musanze,SectorB,Residential,A1,236,4.340356037064763,205.5542100705725,11.098631406710618,0.39058892192318356
3/05/05/01/0055,Rubavu,SectorA,Residential,A1,795,12.570404525508383,99.41463230403046,13.432848427443007,0.5113613429873305
3/06/05/01/0056,Musanze,SectorA,Residential,R3,275,5.9686726664780885,287.2562611123046,10.15154856636455,0.5860167597141139
3/07/05/01/0057,Kicukiro,SectorC,Agricultural,C2,1292,5.104950803772903,101.95604088412522,10.087776841155577,0.8018996235501441
3/08/05/01/0058,Gasabo,SectorC,Residential,C2,1265,14.639474919481742,298.7997163989471,0.8380673201602507,0.7896284454328071
3/09/05/01/0059,Huye,SectorC,Mixed-use,R2,950,3.001883548739702,229.6456363566543,9.273270949743916,0.28089814089823223
3/00/05/01/0060,Rubavu,SectorA,Agricultural,R2,1145,13.486556722874873,48.24842239914752,7.699892530385894,0.38658245793962226
3/01/05/01/0061,Huye,SectorA,Commercial,C1,710,13.707711888879649,179.60717795227887,5.253273700504703,0.7665449564665598
3/02/05/01/0062,Nyarugenge,SectorA,Agricultural,A1,366,6.939108129457668,272.37454360294714,1.6679622345922702,0.5941000834326873
3/03/05/01/0063,Huye,SectorB,Agricultural,A1,1281,11.373634052749356,231.32248166702865,12.341855278150398,0.7953693255546384
3/04/05/01/0064,Nyarugenge,SectorA,Agricultural,A1,704,6.248188113331857,89.28506545314892,13.028986922841904,0.37887667081556214
3/05/05/01/0065,Rubavu,SectorB,Agricultural,C2,871,8.784070540996183,100.19248454188718,0.6510117494725914,0.939714664178877
3/06/05/01/0066,Musanze,SectorA,Agricultural,R3,246,9.811580933893676,210.24586325046207,6.818115971516598,0.7020464640672508
3/07/05/01/0067,Rubavu,SectorC,Agricultural,R1,1170,4.933484654291225,285.3713878025848,13.353956758363745,0.5645254022285704
3/08/05/01/0068,Musanze,SectorA,Agricultural,R2,875,7.491777669159751,109.23890726768558,8.754841677763082,0.2621877095719879
3/09/05/01/0069,Gasabo,SectorD,Agricultural,R3,701,1.4524233155351065,87.53023461483899,6.168100813082794,0.6822255056186388
3/00/05/01/0070,Huye,SectorA,Commercial,R3,1476,14.167445579895368,127.90852203285137,8.717439317712394,0.9353412414684477
3/01/05/01/0071,Kicukiro,SectorD,Commercial,R2,1474,1.6330613814866517,12.77825747668934,5.646950503170744,0.8484426646254664
3/02/05/01/0072,Gasabo,SectorC,Residential,R2,262,6.501852285704028,249.60344510842174,8.536222037486215,0.2508094636720011
3/03/05/01/0073,Gasabo,SectorC,Mixed-use,R1,604,1.7892569531129796,260.09310099524066,12.193515136951163,0.9997741386289045
3/04/05/01/0074,Rubavu,SectorC,Residential,C2,876,11.599136828594382,116.465912036357,3.616272484944478,0.36403626280521995
3/05/05/01/0075,Gasabo,SectorC,Residential,C2,648,10.403809581681994,187.34783093507926,5.372440770492608,0.2908460737597032
3/06/05/01/0076,Kicukiro,SectorB,Commercial,A1,317,12.639200860875016,95.79428573245958,12.245786028195935,0.9743790123518585
3/07/05/01/0077,Rubavu,SectorB,Mixed-use,R1,600,2.87621319830897,13.490889512434997,11.327058835104285,0.6962476410827718
3/08/05/01/0078,Kicukiro,SectorC,Mixed-use,A1,963,14.72647815129329,184.38591561485615,9.549664824334238,0.6438524868337805
3/09/05/01/0079,Nyarugenge,SectorC,Commercial,C1,448,8.195852848237351,236.17763875863722,5.948141734819052,0.6976693601822987
3/00/05/01/0080,Nyarugenge,SectorA,Residential,C2,1099,7.430855311246415,253.41696743051935,11.533766119730963,0.2529887822814927
3/01/05/01/0081,Huye,SectorB,Commercial,C2,404,3.9278310750991983,175.99673066916282,5.123448156848175,0.6298107333712561
3/02/05/01/0082,Nyarugenge,SectorB,Agricultural,C1,559,10.751020527179106,126.4400582354708,13.114764072816257,0.6121888438913687
