upi,district,sector,land_use,zoning,area_m2,distance_to_cbd_km,distance_to_paved_road_m,slope_deg,amenities_score,sale_price,price_per_m2
3/01/05/01/3531,Nyarugenge,SectorA,Agricultural,R1,717,14.294906850707523,90.26504894593167,14.901510740543417,0.38346357552326843,33434838.919414125,46631.57450406433
3/03/05/01/3633,Musanze,SectorB,Commercial,R3,645,8.022246653427036,41.83241768755142,12.578816372985768,0.8075894421091654,37799605.59727247,58604.03968569375
3/01/05/01/4641,Kicukiro,SectorA,Commercial,R1,1000,4.653563871741504,190.07477559767796,9.170669079901977,0.4252597775058273,87737317.10063493,87737.31710063493
3/01/05/01/3071,Gasabo,SectorD,Residential,R2,966,7.24048072295301,210.1755905551911,9.793096394552398,0.4558824311437681,64437955.722416505,66705.958304779
3/01/05/01/2151,Kicukiro,SectorB,Residential,R2,1146,9.79559231334006,137.94680057898574,1.1814139956955483,0.7357289293063014,78513786.9734301,68511.15791747827
3/09/05/01/4939,Rubavu,SectorB,Mixed-use,C1,1166,9.917689775013452,76.25033489153594,12.956292751051267,0.7056366313180107,60539239.905125886,51920.44588775805
3/01/05/01/3721,Musanze,SectorC,Residential,C2,1328,11.770628243544888,250.27532505098523,1.9964740324411634,0.833477354294528,57326384.87386392,43167.45848935536
3/08/05/01/0888,Nyarugenge,SectorC,Agricultural,C1,1303,13.154843060905705,127.16879680083402,10.467965930282164,0.41460028713784863,60655129.89475457,46550.36829988839
3/00/05/01/1240,Kicukiro,SectorB,Commercial,R1,1255,1.6283342306180524,276.4335749301755,7.054443340373622,0.2231973954687584,105325555.28266488,83924.7452451513
3/09/05/01/2269,Huye,SectorC,Commercial,R2,502,12.666698687073547,107.60920211690383,0.5138186043995996,0.4194243009801055,25259909.55012571,50318.54492056915
3/05/05/01/0065,Rubavu,SectorB,Agricultural,C2,871,8.784070540996183,100.19248454188718,0.6510117494725914,0.939714664178877,24960752.94934226,28657.580883286173
3/00/05/01/4090,Gasabo,SectorC,Agricultural,R2,1233,11.652407504659266,207.68215518848285,6.239054165905181,0.4298878691053079,48784112.82268297,39565.37941823436
3/03/05/01/2673,Rubavu,SectorC,Mixed-use,C2,1207,1.421011184747243,291.0502188320659,9.840688042332076,0.6123748552128068,62726211.7220145,51968.692396035214
3/06/05/01/1516,Kicukiro,SectorD,Commercial,R3,731,2.8000816511562987,210.7510738318844,7.593465541363202,0.22050579990753807,61605162.55005278,84275.18816696687
3/09/05/01/0049,Kicukiro,SectorA,Agricultural,R3,1051,9.056638490262305,119.51012823092397,9.649323276635297,0.5666023123932133,41358629.78229156,39351.69341797484
3/05/05/01/0175,Rubavu,SectorB,Residential,C2,585,12.165827408920634,96.55677788245426,6.828302236227018,0.2092964319264805,24124799.69391833,41238.973835757824
3/05/05/01/1885,Nyarugenge,SectorD,Commercial,A1,901,7.098490964733523,116.56068526361472,11.216187313989419,0.9303167842449873,106637082.32974444,118354.14243034899
3/06/05/01/1786,Nyarugenge,SectorA,Mixed-use,R3,1486,9.158100663772903,148.94463323083414,2.7984578945198955,0.9157683643414924,147936757.36018756,99553.67251694991
3/06/05/01/0586,Nyarugenge,SectorD,Mixed-use,C2,1427,9.016999943618185,80.73933141137861,12.061435044503892,0.5407501667735516,132853532.04609339,93099.88230279845
3/05/05/01/1875,Rubavu,SectorB,Agricultural,C2,932,8.520877789408198,236.83072272823605,8.338066445947579,0.8856777516478862,26318939.054912016,28239.20499454079
3/01/05/01/0311,Huye,SectorD,Agricultural,R1,485,1.6457299007002737,172.31538007621876,4.257426705352804,0.8596278464696259,12004764.037036441,24752.09079801328
3/01/05/01/2481,Musanze,SectorB,Residential,C1,465,6.578318259446647,283.0811919876615,5.129684840034561,0.3222298189147737,18384563.04416643,39536.69471863749
3/08/05/01/3338,Nyarugenge,SectorD,Residential,C2,1080,10.592500094523077,242.62740546150343,5.677076472204801,0.7974775799151816,91552527.09581189,84770.85842204804
3/04/05/01/3614,Gasabo,SectorD,Residential,A1,1073,14.420467358193497,26.229198953136663,5.056162349772556,0.9407124429807598,78553732.21387227,73209.44288338516
3/03/05/01/2953,Gasabo,SectorB,Residential,C2,1073,9.379183112534854,176.15539017483704,9.546530168602207,0.4814543323361129,71062047.54536939,66227.4441242958
3/04/05/01/2374,Rubavu,SectorB,Mixed-use,R2,226,2.9481676832551322,291.9797941337133,6.649217646401004,0.9583687334011157,12462638.575159384,55144.41847415657
3/06/05/01/4476,Huye,SectorD,Agricultural,C1,1137,14.086657506852285,106.82547631776157,2.787305632786279,0.9536202215272787,28050199.925645184,24670.360532669467
3/07/05/01/0197,Musanze,SectorC,Mixed-use,A1,819,8.558681753030974,15.085390952051663,14.800394705357423,0.2983766468237014,36887110.84948597,45039.207386429756
3/07/05/01/4347,Nyarugenge,SectorB,Residential,A1,1120,7.1294561524786735,155.58281922949197,13.987281401499514,0.5026047292421196,89648760.7083062,80043.53634670196
3/04/05/01/0064,Nyarugenge,SectorA,Agricultural,A1,704,6.248188113331857,89.28506545314892,13.028986922841904,0.37887667081556214,33036382.355037015,46926.67948158667
3/03/05/01/3213,Gasabo,SectorC,Mixed-use,C1,519,3.3697065100158663,151.38073458525238,9.94821490947684,0.5978911361733742,41195492.991590336,79374.74564853629
3/08/05/01/3188,Kicukiro,SectorA,Agricultural,R2,460,3.1846803682451865,80.02874048427839,13.378301597660267,0.9748205052089751,20128278.16664811,43757.12644923502
3/02/05/01/0282,Kicukiro,SectorB,Mixed-use,R1,395,5.412653295363025,232.6980292235783,1.2963691614381974,0.38942744744910834,29306480.727745753,74193.62209555887
3/02/05/01/4922,Rubavu,SectorD,Agricultural,C2,627,6.285644764527782,66.97188755060051,1.2446339158556674,0.7390219868159977,17527738.64475576,27954.926068191002
3/06/05/01/4686,Huye,SectorB,Commercial,R2,1187,12.536762855366117,52.7128662711009,2.952616519898466,0.3449568430762763,58610994.01528848,49377.41703057159
3/07/05/01/0557,Rubavu,SectorC,Agricultural,C1,211,6.746941116847764,53.184311186271884,3.326729672884779,0.4540436638956014,5548319.648197032,26295.35378292432
3/05/05/01/1015,Rubavu,SectorC,Mixed-use,R2,1288,12.373791206734607,256.75174139339777,13.715106639997252,0.412228071268842,62839511.81994703,48788.44085399614
3/06/05/01/2556,Nyarugenge,SectorC,Residential,R2,612,11.835728347736746,236.4794143150189,3.4225100157087667,0.3540278541790187,47132062.03525056,77013.17326021333
3/03/05/01/1963,Musanze,SectorD,Commercial,R2,394,10.12763199492145,148.64751040557823,11.856228754788154,0.9330166698748252,23472898.04424247,59575.8833610215
